,MNEMONIC,NOTES,DESCRIPTION,SIMPLE,COLOR,STATEORDERBYGROUP
1,Quies1,"quiescent; H3K9me3 very weak; broad domain; Cell lines; ENCODE2012, Epithelial, IMR90, Myostat",quiescent/weak H3K9me3,Het_Rpt_Qui,#FFFFFF,3
2,Quies2,"quiescent; H3K9me3 weak inIMR90, Epithelial, ENCODE2012, Myostat",quiescent/weak H3K9me3,Het_Rpt_Qui,#FFFFFF,4
3,Het1,"H3K9me3. Het in epithelial, IM90, adipose, HSC&B-cell, thymus. LTR repeats Mix of Het and quiescent in other. ",Heterochromatin,Het_Rpt_Qui,#8A91D0,8
4,Het2,"H3K9me3+H3K27me3; Quescient: Mesench, blood & T-cell, Brain. PolyRep in Sm.Muscle, muscle. Het in Epithelial, IM90, Myostat",Heterochromatin,Het_Rpt_Qui,#8A91D0,9
5,Acet1,H3K9me3+class1 epigenome acetylations +simple repeats,acetylations+enhancers/repeats; ,Enhancer,#FFFFCC,26
6,Acet2,"class1 epigenome acetylations weak; highest emissions in ES & iPSC. 19_DNase in ESC, iPSC and ES-deriv. Mixes of quiescent in other cell types",acetylations+enhancers/repeats; ,Enhancer,#FFFFCC,27
7,Acet3,class1 epigenome acetylations very weak; universal quiescent,acetylations+enhancers/repeats; ,Enhancer,#FFFFCC,28
8,Acet4,"class 1 epigenome acetylations and IMR90 enhancers. 17_EnhW2 in most cell types",acetylations+enhancers/repeats; ,Enhancer,#FFFFCC,29
9,Acet5,class 1 epigenome acetylations and IMR90 enhancers weak. ,acetylations+enhancers/repeats; ,Enhancer,#FFFFCC,30
10,Acet6,"IMR90 class 1 acetylations. 18_EnhAc in Myostat, IMR90, Mesench",acetylations+enhancers/repeats; ,Enhancer,#FFFFCC,31
11,Acet7,"Enhancers in IMR90, Myostat, Mesench, Epithelial, ENCODE2012 . IMR90 class 1 acetylations",acetylations+enhancers/repeats; ,Enhancer,#FFFFCC,32
12,EnhA1,"enhancers in most cell types, weaker in blood. EnhA1 in Digestive, Other, ES_deriv, Epithelial, Heart, Muscle, Thymus and Neurosph","enhancers ;non-spec, myostat, mesench, epitheial ",Enhancer,#FFC000,42
13,EnhA2,"enhancers in mesenchymal, muscle, heart, neurosph, adipose. DNase in ESC and iPSC","enhancers ; non-spec, myostat, mesench, epitheial ",Enhancer,#FFC000,43
14,EnhA3,"strong enhancers in most cells, weaker in blood and ESC&iPSC","enhancers ; non-spec, myostat, mesench, epitheial ",Enhancer,#FFC000,44
15,EnhA4,"strong enhancers in myostat, mesench, lung, epithelial","enhancers ; non-spec, myostat, mesench, epitheial ",Enhancer,#FFC000,45
16,EnhA5,"enhancers in mesenchymal, myosat. DNase (weaker emission) in most other","enhancers ; non-spec, myostat, mesench, epitheial ",Enhancer,#FFC000,46
17,EnhWk1,"weak enhancers acetylation in mesench & myostat. DNase in brain, IM90, Adipose, Epithelial, Neurosph, muscle",weak enhancers,Enhancer,#FFFF00,34
18,TxEnh1,"H3K79me2 and enhancers Mesench, Myostat, ENCODE, Epithelial",transcribed and enhancer,Enhancer,#C2E105,62
19,TxEnh2,H3K79me2 and blood enhancers (Blood_H3K4me1*) ,transcribed and enhancer,Enhancer,#C2E105,63
20,Tx1,"H3K79me2. Mostly Tx5p, some TxEnhW in Blood & T-cell (Blood_H3K4me1*)","transcription; non-spec and ESC-derived",Transcribed,#008000,72
21,Tx2,"weak H3K79me2, 5_Tx5p","transcription; non-spec and ESC-derived",Transcribed,#008000,73
22,Tx3,"H3K79m2 and H3K79me1, 5_Tx5p, ","transcription; non-spec and ESC-derived",Transcribed,#008000,74
23,TxEnh3,"H3K79me2 strong, H3K79me1, H4K20me1, H3K36me3, some enhancers. 6_Tx in ESC, ES-deriv and iPSC. 12_TxEnhW in Blood &T-cell, sm. Muscle, myostat and adipose",transcribed and enhancer ,Enhancer,#C2E105,64
24,Tx4,"H3K79me2 and H3K36me3 (weaker). 6_Tx, few 5_Tx5p",transcription,Transcribed,#008000,75
25,TxEx1,H3K79me2 and H3K36me3; exon; 6_Tx ,exon ,Transcribed,#70AD47,80
26,TxEx2,H3K36me3 strongest; exons; Tx3p,exon ,Transcribed,#70AD47,81
27,TxEx3,H3K36me3 strong; exon; Tx3p,exon ,Transcribed,#70AD47,82
28,Tx5,H3K36me3; SINE repeats strongest; 7_Tx3p in all most all cell types,transcription,Transcribed,#008000,76
29,TxWk1,H3K36me3 weak; weak transcription; 8_TxWk,weak transcription,Transcribed,#009600,70
30,Tx6,"H3K36me3 - HSC&B-cell and Mesench preference. 7_Tx3p in blood, mesench, ESC, iPsc, Myostat, adipose, thymus. ","transcription; non-spec and blood*, mesenche",Transcribed,#008000,77
